system:time_start,precipitationCal
"Jun 16, 2018",0
"Jun 16, 2018",0
"Jun 16, 2018",0
"Jun 16, 2018",0
"Jun 16, 2018",0
"Jun 16, 2018",0
"Jun 16, 2018",0
"Jun 16, 2018",0
"Jun 16, 2018",0.001
"Jun 16, 2018",0.002
"Jun 16, 2018",0.004
"Jun 16, 2018",0.005
"Jun 16, 2018",0.004
"Jun 16, 2018",0.002
"Jun 16, 2018",0.001
"Jun 16, 2018",0.001
"Jun 16, 2018",0
"Jun 16, 2018",0
"Jun 16, 2018",0
"Jun 16, 2018",0
"Jun 16, 2018",0
"Jun 16, 2018",0
"Jun 16, 2018",0
"Jun 17, 2018",0
"Jun 17, 2018",0
"Jun 17, 2018",0.001
"Jun 17, 2018",0
"Jun 17, 2018",0
"Jun 17, 2018",0
"Jun 17, 2018",0
"Jun 17, 2018",0
"Jun 17, 2018",0
"Jun 17, 2018",0
"Jun 17, 2018",0.001
"Jun 17, 2018",0.001
"Jun 17, 2018",0.002
"Jun 17, 2018",0.004
"Jun 17, 2018",0.008
"Jun 17, 2018",0.009
"Jun 17, 2018",0.046
"Jun 17, 2018",0.56
"Jun 17, 2018",0.733
"Jun 17, 2018",1.243
"Jun 17, 2018",1.081
"Jun 17, 2018",0.911
"Jun 17, 2018",0.615
"Jun 17, 2018",0.412
"Jun 17, 2018",0.213
"Jun 17, 2018",0.65
"Jun 17, 2018",0.462
"Jun 17, 2018",0.204
"Jun 17, 2018",0.162
"Jun 17, 2018",0
"Jun 17, 2018",0.191
"Jun 17, 2018",0.357
"Jun 17, 2018",0.355
"Jun 17, 2018",0.173
"Jun 17, 2018",0.11
"Jun 17, 2018",0.07
"Jun 17, 2018",0.041
"Jun 17, 2018",0.025
"Jun 17, 2018",0.01
"Jun 17, 2018",0.005
"Jun 17, 2018",0.002
"Jun 17, 2018",0.002
"Jun 17, 2018",0.001
"Jun 17, 2018",0.001
"Jun 17, 2018",0.002
"Jun 17, 2018",0.002
"Jun 17, 2018",0.028
"Jun 17, 2018",0.05
"Jun 18, 2018",0.052
"Jun 18, 2018",0.055
"Jun 18, 2018",0.12
"Jun 18, 2018",0.114
"Jun 18, 2018",0.205
"Jun 18, 2018",0.411
"Jun 18, 2018",0.472
"Jun 18, 2018",0.264
"Jun 18, 2018",0.084
"Jun 18, 2018",0.082
"Jun 18, 2018",0.04
"Jun 18, 2018",0.025
"Jun 18, 2018",0.015
"Jun 18, 2018",0.008
"Jun 18, 2018",0.005
"Jun 18, 2018",0.003
"Jun 18, 2018",0
"Jun 18, 2018",0.065
"Jun 18, 2018",0.472
"Jun 18, 2018",0.603
"Jun 18, 2018",1.033
"Jun 18, 2018",0.411
"Jun 18, 2018",0.563
"Jun 18, 2018",0.612
"Jun 18, 2018",0.774
"Jun 18, 2018",0.549
"Jun 18, 2018",0.243
"Jun 18, 2018",0.192
"Jun 18, 2018",0
"Jun 18, 2018",0.03
"Jun 18, 2018",0.039
"Jun 18, 2018",0.065
"Jun 18, 2018",0.03
"Jun 18, 2018",0
"Jun 18, 2018",0
"Jun 18, 2018",0
"Jun 18, 2018",0
"Jun 18, 2018",0
"Jun 18, 2018",0
"Jun 18, 2018",0
"Jun 18, 2018",0
"Jun 18, 2018",0
"Jun 18, 2018",0
"Jun 18, 2018",0
"Jun 18, 2018",0
"Jun 18, 2018",0
"Jun 18, 2018",0
"Jun 18, 2018",0
"Jun 19, 2018",0
"Jun 19, 2018",0
"Jun 19, 2018",0
"Jun 19, 2018",0
"Jun 19, 2018",0
"Jun 19, 2018",0
"Jun 19, 2018",0
"Jun 19, 2018",0
"Jun 19, 2018",0
"Jun 19, 2018",0
"Jun 19, 2018",0
"Jun 19, 2018",0.014
"Jun 19, 2018",0.017
"Jun 19, 2018",0.03
"Jun 19, 2018",0.058
"Jun 19, 2018",0.068
"Jun 19, 2018",0
"Jun 19, 2018",0.314
"Jun 19, 2018",0.388
"Jun 19, 2018",0.813
"Jun 19, 2018",1.082
"Jun 19, 2018",0.758
"Jun 19, 2018",2.785
"Jun 19, 2018",3.438
"Jun 19, 2018",5.578
"Jun 19, 2018",4.239
"Jun 19, 2018",3.849
"Jun 19, 2018",2.773
"Jun 19, 2018",2.152
"Jun 19, 2018",1.159
"Jun 19, 2018",1.181
"Jun 19, 2018",0.571
"Jun 19, 2018",0
"Jun 19, 2018",0
"Jun 19, 2018",0
"Jun 19, 2018",0
"Jun 19, 2018",0
"Jun 19, 2018",0.047
"Jun 19, 2018",0
"Jun 19, 2018",0
"Jun 19, 2018",0
"Jun 19, 2018",0
"Jun 19, 2018",0
"Jun 19, 2018",0
"Jun 19, 2018",0
"Jun 19, 2018",0
"Jun 19, 2018",0
"Jun 19, 2018",0
"Jun 20, 2018",0.011
"Jun 20, 2018",0
"Jun 20, 2018",0
"Jun 20, 2018",0
"Jun 20, 2018",0
"Jun 20, 2018",0
"Jun 20, 2018",0
"Jun 20, 2018",0
"Jun 20, 2018",0
"Jun 20, 2018",0
"Jun 20, 2018",0.004
"Jun 20, 2018",0.007
"Jun 20, 2018",0.022
"Jun 20, 2018",0.047
"Jun 20, 2018",0.074
"Jun 20, 2018",0.116
"Jun 20, 2018",0.239
"Jun 20, 2018",0.29
"Jun 20, 2018",0.368
"Jun 20, 2018",0.395
"Jun 20, 2018",0.476
"Jun 20, 2018",1.124
"Jun 20, 2018",1.806
"Jun 20, 2018",0.515
"Jun 20, 2018",0.664
"Jun 20, 2018",2.79
"Jun 20, 2018",0.855
"Jun 20, 2018",0.96
"Jun 20, 2018",0.718
"Jun 20, 2018",0.359
"Jun 20, 2018",0.277
"Jun 20, 2018",0
"Jun 20, 2018",0.011
"Jun 20, 2018",0.02
"Jun 20, 2018",0.019
"Jun 20, 2018",0.009
"Jun 20, 2018",0.002
"Jun 20, 2018",0
"Jun 20, 2018",0
"Jun 20, 2018",0
"Jun 20, 2018",0
"Jun 20, 2018",0
"Jun 20, 2018",0
"Jun 20, 2018",0
"Jun 20, 2018",0
"Jun 20, 2018",0
"Jun 20, 2018",0
"Jun 20, 2018",0
"Jun 21, 2018",0
"Jun 21, 2018",0.004
"Jun 21, 2018",0.049
"Jun 21, 2018",0.001
"Jun 21, 2018",0.001
"Jun 21, 2018",0.001
"Jun 21, 2018",0
"Jun 21, 2018",0
"Jun 21, 2018",0
"Jun 21, 2018",0
"Jun 21, 2018",0.001
"Jun 21, 2018",0.006
"Jun 21, 2018",0.008
"Jun 21, 2018",0.015
"Jun 21, 2018",0.028
"Jun 21, 2018",0.054
"Jun 21, 2018",0.06
"Jun 21, 2018",2.734
"Jun 21, 2018",3.48
"Jun 21, 2018",5.77
"Jun 21, 2018",6.639
"Jun 21, 2018",6.881
"Jun 21, 2018",7.625
